partner_name,partner_type,partner_category,partner_logo,story_title,story_description,story_url,date
EKI Energy Services,contributing,,EKI.png,Steering the planet to net-zero,EKI Energy Services' Green Cooking initiative to empower economically weaker households with improved cookstoves free of cost for users.,EKI-story.pdf,2023-12-01
Equatorise,supporting,,Equatorise.jpg,,,,2022-11-03
Forest Carbon,contributing,,ForestCarbon.png,The Kepayang Community Forest Project,Nature-based solutions role in achieving climate goals.,ForestCarbon.pdf,2023-08-01
Forest Carbon,contributing,,ForestCarbon.png,The way forward for environmental assets ,Optimising nature-based solutions.,ForestCarbon2.pdf,2023-10-10
GenZero,supporting,,Genzero.png,,,,2022-11-03
ICDX Group,contributing,,ICDX.png,Nationally Determined Contributions and the voluntary carbon market,Why countries' climate plans and the voluntary carbon markets do not compete but rather complement each other.,ICDX-story.pdf,2022-10-31
ICDX Group,contributing,,ICDX.png,"Building a Transparent and Strong Carbon Marketplace: Navigating Climate Policies, Regulations, and Carbon Taxes",The importance of carbon markets and the need for a success marketplace. ,ICX.pdf,2022-10-31
International Carbon Action Partnership,contributing,,ICAP.jpg,Emissions trading worldwide: status report 2022,"Lays out the latest developments and salient emissions-trading trends, and compares ETS facts and figures on each operational and planned program.",ICAP-story-1.pdf,2022-11-01
International Carbon Action Partnership,contributing,,ICAP.jpg,Emissions trading in practice: a handbook on design and implementation,"Draws on experiences of jurisdictions with an emissions-trading scheme to assist policy makers to design, implement and operate an effective and credible carbon market.",ICAP-story-2.pdf,2022-11-03
International Emissions Trading Association,contributing,,IETA.png,How governments can implement NDCs cooperatively and encourage private sector investment,Ingredients for success that governments need to consider and address to mobilize private sector resources and investmen toward the Article 6 mechanisms.,IETA-story-1.pdf,2022-11-01
International Emissions Trading Association,contributing,,IETA.png,GHG market sentiment survey 2022,How carbon markets around the world are set to continue growing rapidly as countries double down on climate ambition and corporates pursue net-zero goals,IETA-story-2.pdf,2022-11-03
Jababeka,supporting,,Jababeka.png,,,,2022-11-03
Jarden,contributing,,Jarden.png,Price differentiation in carbon offsets - not all created equal,"Interview with Head of Commodities and Carbon Trading, Nigel Brunel: ""Voluntary carbon markets will become one of the biggest commodity markets in the world."" ",Jarden-story.pdf,2022-11-04
Mitsubishi Heavy Industries,supporting,,MHI.jpg,,,,2022-11-03
Pertamina,contributing,,Pertamina.jpg,How PT Pertamina as an integrated energy company can support the carbon market,Pertamina is developing carbon sequestration and avoidance projcts by leveraging Indonesia's comparative advantages.,pertamina-story.pdf,2022-11-09
Pier 61,supporting,,pier61.jpg,,,,2022-11-03
Reforestum,supporting,,reforestum.jpg,,,,2022-11-03
Ureca,contributing,,ureca.png,"In Mongolia, a quest to democratize carbon credits","When working as envisioned, carbon credits introduce a powerful tool to incentivize and fund emissions reductions across the economy.",ureca-story.pdf,2023-01-11
Vale,supporting,,Vale.jpg,,,,2022-11-03
Yamaha Motor,contributing,,yamaha.jpg,Yamaha Motor's initiatives to achieve carbon neutrality,Yamaha Motor sees carbon offsetting as part of its wide carbon neutrality goals. To support this and emissions reduction targets the company has set up a Sustainability Fund to invest in carbon offset projects among other things.,yamaha-story.pdf,2022-10-26
